"ID";"Наименование.объекта";"global_id";"ShortName";"CodeOfDivison";"AdmArea";"District";"Address";"Контактный.телефон";"Режим.работы";"ClarificationOfWorkingHours";"Services";"ExtraInfo";"geoData";"long";"lat"
2;"(площадка приема )1 отделение (по экзаменационной работе) Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной № 1 работы Главного управления Министерства внутренних дел Российской Федерации по городу Москве";61274005;"(площадка приема )1 отделение (по экзаменационной работе) МО ГИБДД ТНРЭР № 1 ГУ МВД России по г. Москве";1145110;"Северный административный округ";"Дмитровский район";"улица Лобненская, дом 20";"(495) 485-50-23";"День недели: понедельник
Часы работы: выходной

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-18:00

День недели: четверг
Часы работы: 08:00-18:00

День недели: пятница
Часы работы: 08:00-18:00

День недели: суббота
Часы работы: 08:00-17:00

День недели: воскресенье
Часы работы: выходной";"обед 14:00-15:00";"прием экзаменов по первоначальным навыкам управления";"площадка";"{type=Point, coordinates=[37.517078, 55.898255]}";37,517078;55,898255
5;"(площадка приема ) 1 отделение (по экзаменационной работе) Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной № 2 работы Главного управления Министерства внутренних дел Российской Федерации по городу Москве";61274008;"(площадка приема )1 отделение (по экзаменационной работе) МО ГИБДД ТНРЭР № 2 ГУ МВД России по г. Москве";1145108;"Северо-Западный административный округ";"район Строгино";"улица Твардовского, дом 8, корпус 5";"(499) 740-11-30";"День недели: понедельник
Часы работы: 08:00-20:00

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-20:00

День недели: четверг
Часы работы: 08:00-20:00

День недели: пятница
Часы работы: 08:00-20:00

День недели: суббота
Часы работы: 08:00-20:00

День недели: воскресенье
Часы работы: 08:00-20:00";"обед 14:00-15:00";"прием экзаменов по первоначальным навыкам управления";"площадка";"{type=Point, coordinates=[37.38878, 55.793131]}";37,38878;55,793131
7;"(площадка приема ) 2 отделение (по экзаменационной работе) Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной № 2 работы Главного управления Министерства внутренних дел Российской Федерации по городу Москве";61274010;"(площадка приема ) 2 отделение (по экзаменационной работе) МО ГИБДД ТНРЭР № 2 ГУ МВД России по г. Москве";1145109;"Северный административный округ";"район Западное Дегунино";"улица Пяловская, дом 21";"(499) 905-72-58";"День недели: понедельник
Часы работы: выходной

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-18:00

День недели: четверг
Часы работы: 08:00-18:00

День недели: пятница
Часы работы: 08:00-18:00

День недели: суббота
Часы работы: 08:00-17:00

День недели: воскресенье
Часы работы: выходной";"обед 14:00-15:00";"прием экзаменов по первоначальным навыкам управления";"площадка";"{type=Point, coordinates=[37.535251, 55.862009]}";37,535251;55,862009
9;"(площадка приема ) 3 отделение (по экзаменационной работе) Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной № 2 работы Главного управления Министерства внутренних дел Российской Федерации по городу Москве";61274012;"(площадка приема ) 3 отделение (по экзаменационной работе) МО ГИБДД ТНРЭР № 2 ГУ МВД России по г. Москве";1145100;"Зеленоградский административный округ";"район Крюково";"город Зеленоград улица Крупской, д. 1";"(499) 733-84-54";"День недели: понедельник
Часы работы: выходной

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-18:00

День недели: четверг
Часы работы: 08:00-18:00

День недели: пятница
Часы работы: 08:00-18:00

День недели: суббота
Часы работы: 08:00-17:00

День недели: воскресенье
Часы работы: выходной";"обед 14:00-15:00";"прием экзаменов по первоначальным навыкам управления";"площадка";"{type=Point, coordinates=[37.17623, 55.975612]}";37,17623;55,975612
11;"(площадка приема ) 1 и 2 отделение (по экзаменационной работе) Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной № 3 работы Главного управления Министерства внутренних дел Российской Федерации по городу Москве";61274014;"(площадка приема ) 1 и 2 отделение (по экзаменационной работе) МО ГИБДД ТНРЭР № 3 ГУ МВД России по г. Москве";1145103;"Восточный административный округ";"район Измайлово";"г. Москва, ул. Вернисажная, д. 1, стр. 1

ул. Кетчерская, вл. 15А ";"(499) 166-66-53;(499) 166-66-08";"День недели: понедельник
Часы работы: выходной

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-18:00

День недели: четверг
Часы работы: 08:00-18:00

День недели: пятница
Часы работы: 08:00-18:00

День недели: суббота
Часы работы: 08:00-17:00

День недели: воскресенье
Часы работы: выходной";"обед 14:00-15:00";"прием экзаменов по первоначальным навыкам управления";"площадка";"{type=Point, coordinates=[37.745403, 55.781524]}";37,745403;55,781524
13;"(площадка приема ) 1 отделение (по экзаменационной работе) Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной № 4 работы Главного управления Министерства внутренних дел Российской Федерации по городу Москве";61274016;"(площадка приема ) 1 отделение (по экзаменационной работе) МО ГИБДД ТНРЭР № 4 ГУ МВД России по г. Москве";1145240;"Юго-Восточный административный округ";"район Марьино";"1.улица Нижние поля, дом 35, строение 2

2. ул. Люблинская, д. 96 ";"(495) 349-65-51";"День недели: понедельник
Часы работы: выходной

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-18:00

День недели: четверг
Часы работы: 08:00-18:00

День недели: пятница
Часы работы: 08:00-18:00

День недели: суббота
Часы работы: 08:00-17:00

День недели: воскресенье
Часы работы: выходной";"обед 14:00-15:00";"прием экзаменов по первоначальным навыкам управления";"площадка";"{type=Point, coordinates=[37.736896, 55.659201]}";37,736896;55,659201
16;"(площадка приема ) 1 отделение (по экзаменационной работе) Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной № 5 работы Главного управления Министерства внутренних дел Российской Федерации по городу Москве";61274019;"(площадка приема ) 1 отделение (по экзаменационной работе) МО ГИБДД ТНРЭР № 5 ГУ МВД России по г. Москве";1145111;"Южный административный округ";"район Чертаново Южное";"Варшавской шоссе, дом 170Д";"(495) 382-94-42";"День недели: понедельник
Часы работы: выходной

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-18:00

День недели: четверг
Часы работы: 08:00-18:00

День недели: пятница
Часы работы: 08:00-18:00

День недели: суббота
Часы работы: 08:00-17:00

День недели: воскресенье
Часы работы: выходной";"обед 14:00-15:00";"прием экзаменов по первоначальным навыкам управления";"площадка";"{type=Point, coordinates=[37.583311, 55.580518]}";37,583311;55,580518
39;"Отделение Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной работы № 5 Главного управления Министерства внутренних дел России по городу Москве";61274002;"Отделение МО ГИБДД ТНРЭР № 5ГУ МВД России по г. Москве";1145035;"Западный административный округ";"район Солнцево";"г. Москва, ул. 50 лет Октября, д. 6, корп. 1";"(495) 439-16-24;(495) 439-21-10";"День недели: понедельник
Часы работы: 08:00-20:00

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-20:00

День недели: четверг
Часы работы: 09:00-18:00

День недели: пятница
Часы работы: 08:00-20:00

День недели: суббота
Часы работы: 08:00-20:00

День недели: воскресенье
Часы работы: 08:00-20:00";"перерыв 14:00-15:00";"Регистрация автомототранспортных средств и прицепов к ним (физические и юридические лица)";"АПК СУО, Предварительная запись через сайт госуслуг                                           Воскресенье - Предварительная запись на сайте государственных услу";"{type=Point, coordinates=[37.415478, 55.655356]}";37,415478;55,655356
612747;"1 отделение по экзаменационной работе Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной работы № 1 Главного управления Министерства внутренних дел России по городу Москве";1016548445;"1 ОЭР МО ГИБДД ТНРЭР № 1 ГУ МВД России по 
г. Москве
";1145110;"Северный административный округ";"Дмитровский район";"ул. Лобненская, д. 20";"(495) 485-50-23";"День недели: понедельник
Часы работы: выходной

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-18:00

День недели: четверг
Часы работы: 08:00-18:00

День недели: пятница
Часы работы: 08:00-18:00

День недели: суббота
Часы работы: 08:00-17:00

День недели: воскресенье
Часы работы: выходной";"14:00-15:00";"Прием экзаменов по первоначальным навыкам управления транспортными средствами";"";"{type=Point, coordinates=[37.516979, 55.898286]}";37,516979;55,898286
612748;"1 отделение по экзаменационной работе Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной работы № 3 Главного управления Министерства внутренних дел России по городу Москве";1016548431;"1 ОЭР МО ГИБДД ТНРЭР № 3 ГУ МВД России по 
г. Москве
";1145103;"Восточный административный округ";"район Измайлово";"ул. Вернисажная, д. 1, стр. 1";"(499) 166-66-53";"День недели: понедельник
Часы работы: выходной

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-18:00

День недели: четверг
Часы работы: 08:00-18:00

День недели: пятница
Часы работы: 08:00-18:00

День недели: суббота
Часы работы: 08:00-17:00

День недели: воскресенье
Часы работы: выходной";"Обед 14:00-15:00";"Прием экзаменов по первоначальным навыкам управления транспортными средствами";"";"{type=Point, coordinates=[37.745403, 55.781524]}";37,745403;55,781524
612749;"2 отделение по экзаменационной работе Межрайонного отдела Государственной инспекции безопасности дорожного движения технического надзора и регистрационно-экзаменационной работы № 4 Главного управления Министерства внутренних дел России по городу Москве";1016548373;"2 ОЭР МО ГИБДД ТНРЭР № 4 ГУ МВД России по 
г. Москве
";1145105;"Юго-Западный административный округ";"район Северное Бутово";" Варшавское ш., д. 166 ";"(499) 612-18-56";"День недели: понедельник
Часы работы: выходной

День недели: вторник
Часы работы: 08:00-20:00

День недели: среда
Часы работы: 08:00-18:00

День недели: четверг
Часы работы: 08:00-18:00

День недели: пятница
Часы работы: 08:00-18:00

День недели: суббота
Часы работы: 08:00-17:00

День недели: воскресенье
Часы работы: выходной";"Обед 14.00 - 15.00
понедельник, воскресенье - неприемные дни";"Прием экзаменов по первоначальным навыкам управления транспортными средствами";"";"{type=Point, coordinates=[37.598349, 55.568114]}";37,598349;55,568114
